1760380257957: GET: /api/users1760380351249: GET: /api/users/999
1760380390753: GET: /api/users/999
1760380460050: ::1 GET: /api/users
1760380462673: ::1 GET: /api/users/999
1760452636595: ::1 GET: /api/users
1760452913984: ::1 GET: /api/users
1760453023610: ::1 GET: /api/users
1760453044972: ::1 GET: /api/users
1760454060679: ::1 POST: /api/users
1760454408284: ::1 POST: /api/users
1760454660014: ::1 GET: /api/users/9996
1760454674719: ::1 GET: /api/users/9996
1760458091450: ::1 POST: /api/users
1760458216603: ::1 POST: /api/users
1760458494710: ::1 GET: /
1760458495392: ::1 GET: /
1760458501581: ::1 GET: /users
1760458501646: ::1 GET: /favicon.ico
1760458588326: ::1 POST: /api/users
1760458592194: ::1 GET: /users
1760458699259: ::1 GET: /api/users
1760458897783: ::1 GET: /api/users/68ee756b60498c9e26ddc3e7
1760459235101: ::1 PATCH: /api/users/68ee75e875a52854a42e05e4
1760459248493: ::1 GET: /api/users/68ee775c4860b3e2a4b9e69e
1760459253563: ::1 DELETE: /api/users/68ee775c4860b3e2a4b9e69e
1760463001481: ::1 GET: /users
